ID,Locality,lat,long,freqHCN,freqAc,freqLi,Mean winter temp.,N,Time sampled,Country,Continent,Hemisphere,Data provenance,Year of collection
262,"Lenoxville, QC",45.367519,-71.856386,0.834782609,0.615518418,0.868123905,-8.68000020980835,115,Historical,Canada,North America,North,Daday 1958,1958
263,"St Anne de la Pocatire, QC",47.347271,-70.028177,0.622807018,0.461972413,0.613835777,-11.04000015258789,114,Historical,Canada,North America,North,Daday 1958,1958
264,"Grandes Bergeronnes, AB",48.243471,-69.545148,0.591666667,0.415477403,0.623613674,-13.460000228881835,120,Historical,Canada,North America,North,Daday 1958,1958
265,"Lacombe, AB",52.462605,-113.728846,0.711340206,0.557420867,0.67891935,-19.360000801086425,97,Historical,Canada,North America,North,Daday 1958,1958
266,"Lacombe, AB",52.462605,-113.728846,0.4375,0.278312164,0.618118692,-19.360000801086425,48,Historical,Canada,North America,North,Daday 1958,1958
267,"Peace River, AB",56.236096,-117.292593,0.456896552,0.458609708,0.356732479,-25.260000228881836,116,Historical,Canada,North America,North,Daday 1958,1958
268,"Peace River, AB",56.236096,-117.292593,0,0.004246304,0.136424461,-25.260000228881836,118,Historical,Canada,North America,North,Daday 1958,1958
269,"Brandon, MB",49.845027,-99.948606,0.409090909,0.325800138,0.477767032,-20.82000026702881,66,Historical,Canada,North America,North,Daday 1958,1958
270,"Brandon, MB",49.845027,-99.948606,0.464285714,0.292893219,0.811017763,-20.82000026702881,28,Historical,Canada,North America,North,Daday 1958,1958
233,"Baton Rouge, LA",30.449871,-91.186866,0.912280702,0.71902425700000006,0.867546764,14.400000190734863,114,Historical,USA,North America,North,Daday 1958,1958
